IDs,S,E,labels
2_1,1.0,1.97215e-31,1
2_2,1.0,1.97215e-31,1
2_3,1.0,1.97215e-31,1
3_1,1.0,2.5222300000000002e-30,1
3_2,1.0,0.143594,1
3_3,1.0,0.277997,1
3_4,1.0,2.5222300000000002e-30,1
3_5,1.0,0.0528315,1
3_6,1.0,0.666667,1
3_7,1.0,0.666667,0
3_8,1.0,3.71011e-30,1
4_1,1.0243,0.0264935,1
4_2,1.0468,0.205414,1
4_3,1.0542,0.325041,0
4_4,1.0854,0.328271,1
4_5,1.0994,0.458839,1
4_6,0.94868,0.118503,0
4_7,1.1162,0.6079,0
4_8,0.98675,0.265016,1
4_9,0.9,0.45,1
4_10,1.0,1.0,1
4_11,1.0,1.0,0
4_12,0.95526,0.961158,1
4_13,0.96129,1.14122,0
4_14,1.0243,0.0264935,1
4_15,1.0685,0.643472,1
4_16,1.0685,0.643472,1
4_17,1.0685,0.643472,0
4_18,1.1193,0.640658,0
4_19,1.2,1.8,1
4_20,1.2,1.8,1
4_21,0.9,0.45,1
4_22,0.9,0.45,0
4_23,1.2,1.8,0
4_24,0.94641,0.344624,0
4_25,0.9,1.15952,1
4_26,0.9,1.15952,0
4_27,1.0243,0.0264935,1
4_28,1.0854,0.328271,0
4_29,1.0565,0.658544,1
5_1,1.0472,0.0891649,0
5_2,1.0747,0.304178,1
5_3,1.0836,0.423298,0
5_4,1.1123,0.504546,1
5_5,1.1249,0.63333,0
5_6,1.1389,0.771182,1
5_7,1.0047,0.305757,0
5_8,1.0446,0.57922,0
5_9,1.0701,1.26557,0
5_10,1.0701,1.26557,0
5_11,1.0131,0.840117,1
5_12,1.0367,0.338231,0
5_13,1.0444,1.35173,0
5_14,1.05,1.46862,0
5_15,1.0903,0.605083,0
5_16,1.0472,0.431661,0
5_17,1.1063,0.705042,0
5_18,1.1314,1.39683,0
5_19,1.1314,1.39683,0
5_20,1.1537,1.56554,1
5_21,1.1537,1.56554,1
5_22,1.0531,0.777129,0
5_23,1.1031,1.41103,0
5_24,1.1117,1.56569,0
5_25,1.0666,0.861625,0
5_26,1.1248,1.5619,0
5_27,0.99437,0.278635,1
5_28,1.1346,1.73654,0
5_29,1.019,1.0557,0
5_30,1.019,1.0557,0
5_31,0.89443,0.445825,0
5_32,1.0472,0.0891649,1
5_33,0.94448,0.724732,0
