IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30
2_1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
3_1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_5,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_6,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_8,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
