KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_46,5_19,5_46,5_47,5_24,5_47
5_35,5_18,5_36,5_48,5_26,5_48
5_36,5_79,5_35,5_99,5_23,5_99
5_103,5_26,5_103,5_100,5_79,5_100
5_44,5_23,5_44,5_101,5_19,5_101
5_45,5_24,5_45,5_102,5_18,5_102
5_99,5_21,5_100,5_50,5_28,5_50
5_50,5_20,5_101,5_96,5_20,5_96
5_102,5_28,5_102,5_41,5_21,5_41
5_96,5_78,5_50,5_49,5_107,5_49
5_101,5_10,5_96,5_46,5_10,5_46
5_100,5_106,5_99,5_38,5_9,5_38
5_47,5_9,5_47,5_45,5_106,5_45
5_38,5_77,5_38,5_36,5_14,5_36
4_25,5_6,4_26,5_35,5_13,5_35
4_26,5_57,4_25,5_103,5_78,5_103
4_13,5_56,5_41,5_44,5_69,5_44
5_41,5_55,5_48,5_104,5_72,5_104
5_48,5_59,4_13,5_105,5_108,5_105
5_67,5_98,5_93,5_110,5_75,5_110
5_66,5_109,5_49,5_95,5_74,5_95
5_49,5_39,5_97,5_92,5_70,5_92
4_12,5_40,5_95,5_97,5_73,5_97
5_93,5_42,5_92,5_93,5_71,5_93
5_97,5_43,5_110,5_54,5_59,5_54
5_95,5_17,4_12,5_52,5_57,5_52
5_92,5_107,5_33,5_58,5_56,5_58
5_110,5_76,5_34,,5_55,
5_33,4_18,5_37,,5_98,
5_34,5_5,4_22,,5_109,
5_37,4_7,4_21,,4_19,
4_22,4_19,4_9,,4_23,
4_21,4_23,5_88,,4_20,
4_9,4_20,5_31,,5_67,
5_31,5_15,5_105,,5_66,
5_88,5_4,5_104,,5_81,
5_105,4_5,5_54,,5_82,
5_104,5_80,5_52,,5_83,
5_58,5_81,5_58,,5_80,
5_54,5_82,,,,
5_52,5_83,,,,
