KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
6_145,6_145,6_412,6_60,6_60,6_60
6_60,6_60,6_388,6_145,6_145,6_145
6_21,6_64,6_420,6_64,6_64,6_64
6_64,6_21,6_468,6_21,6_21,6_21
6_321,6_321,6_450,6_321,6_321,6_321
6_130,6_130,6_401,6_130,6_103,6_130
6_103,6_103,6_416,6_103,6_128,6_170
6_128,6_128,6_264,6_128,6_130,6_128
6_175,6_182,6_322,6_182,6_175,6_499
6_182,6_175,6_346,6_175,6_182,6_103
6_381,6_381,6_307,6_89,6_89,6_206
6_93,6_251,6_429,6_179,6_381,6_28
6_171,6_171,6_463,6_381,6_179,6_175
6_251,6_93,6_337,6_251,6_251,6_182
6_89,6_89,6_313,6_171,6_171,6_89
6_179,6_179,6_349,6_22,6_22,6_179
6_22,6_22,6_250,6_234,6_234,6_167
6_504,6_234,6_255,6_93,6_93,6_251
6_357,6_357,6_332,6_357,6_357,6_22
6_80,6_504,6_440,6_504,6_504,6_234
6_298,6_80,6_409,6_80,6_80,6_171
6_234,6_298,6_454,6_17,6_17,6_419
6_17,6_17,6_350,6_298,6_298,6_93
6_271,6_271,6_435,6_170,6_34,6_80
6_233,6_233,6_347,6_271,6_271,6_504
6_34,6_34,6_266,6_34,6_170,6_381
6_367,6_170,6_411,6_499,6_28,6_357
6_170,6_367,6_387,6_206,6_499,6_306
6_272,6_499,6_490,6_28,6_206,6_81
6_173,6_206,6_385,6_167,6_233,6_17
6_499,6_272,6_345,6_233,6_167,6_34
6_206,6_28,6_348,6_419,6_419,6_147
6_227,6_173,6_398,6_306,6_98,6_271
6_28,6_167,6_312,6_272,6_272,6_98
6_167,6_419,6_303,6_367,6_306,6_298
6_419,6_227,6_485,6_98,6_367,6_90
6_260,6_260,6_258,6_90,6_90,6_104
6_16,6_306,6_471,6_81,6_81,6_146
6_306,6_98,6_472,6_147,6_26,6_272
6_195,6_16,6_319,6_260,6_147,6_196
6_323,6_90,6_483,6_26,6_260,6_233
6_19,6_280,6_417,6_104,6_173,6_506
6_280,6_195,6_430,6_146,6_29,6_26
6_98,6_323,6_424,6_173,6_506,6_192
6_147,6_147,6_336,6_16,6_227,6_114
6_214,6_19,6_489,6_192,6_104,6_29
6_90,6_26,6_425,6_506,6_146,6_32
6_148,6_214,6_494,6_227,6_16,6_20
6_192,6_192,6_265,6_196,6_192,6_367
6_104,6_104,6_469,6_29,6_280,6_183
