KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_72361,9_6549,9_15588,9_2750,9_41983
9_90242,9_39142,9_3634,9_52260,9_1738
9_90944,9_5167,9_61918,9_25624,9_1849
9_90658,9_38864,9_6535,9_22869,9_1595
9_19213,9_39359,9_61912,9_52268,9_2139
9_6002,9_6670,9_19023,9_52266,9_49140
9_6517,9_39379,9_43130,9_72296,9_1739
9_47735,9_5285,9_42635,9_61666,9_62074
9_7616,9_2756,9_78144,9_5410,9_2023
9_18929,9_6002,9_85101,9_73749,9_20660
9_6500,9_47735,9_21073,9_64338,9_2000
9_8111,9_6517,9_63440,9_80010,9_11757
9_51452,9_8111,9_63430,9_63496,9_2572
9_12579,9_7616,9_63431,9_64330,9_56658
9_8843,9_6500,9_63453,9_80011,9_3033
9_19821,9_51452,9_63455,9_19168,9_2547
9_30577,9_19213,9_61693,9_63181,9_47844
9_7538,9_18929,9_63456,9_62748,9_52371
9_18484,9_47523,9_42231,9_62746,9_11242
9_2141,9_42109,9_42235,9_15475,9_705
9_9450,9_21859,9_42343,9_835,9_43378
9_8100,9_42092,9_43214,9_9149,9_52434
9_6732,9_41601,9_66795,9_62750,9_76596
9_51434,9_41861,9_42353,9_62747,9_48385
9_51605,9_41860,9_42344,9_61700,9_1422
9_67854,9_41850,9_42351,9_26287,9_75
9_8967,9_20342,9_42314,9_48444,9_15264
9_47731,9_63490,9_52184,9_9418,9_48468
9_47732,9_27023,9_62523,9_61698,9_2383
9_76017,9_67819,9_9078,9_8969,9_2246
9_8729,9_17923,9_73561,9_77404,9_3043
9_4601,9_1638,9_66141,9_50660,9_2152
9_6664,9_4601,9_62521,9_50661,9_76945
9_1638,9_22282,9_63235,9_51703,9_498
9_22282,9_8967,9_2030,9_72173,9_512
9_47674,9_6664,9_61856,9_9454,9_14504
9_53187,9_47732,9_63425,9_2126,9_474
9_79807,9_76017,9_42167,9_4493,9_2138
9_19804,9_47731,9_72294,9_69275,9_52437
9_9129,9_8729,9_63444,9_52483,9_7547
9_6566,9_63407,9_63441,9_23044,9_72976
9_17763,9_17134,9_64297,9_25623,9_2470
9_47899,9_3194,9_67596,9_2703,9_72087
9_6494,9_15256,9_42261,9_68955,9_1396
9_7109,9_15598,9_42265,9_6863,9_43379
9_8674,9_47705,9_21470,9_68269,9_17920
9_47652,9_9903,9_25871,9_51987,9_859
9_42423,9_19821,9_20515,9_22633,9_3576
9_42420,9_7538,9_3559,9_19693,9_16741
9_41034,9_51605,9_63428,9_43224,9_79767
