KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_6549,9_6549,9_61918,9_15342,9_1411
9_5167,9_5167,9_21470,9_2703,9_19442
9_5285,9_5285,9_22029,9_25623,9_9411
9_6670,9_6670,9_34591,9_72296,9_563
9_47563,9_2534,9_23314,9_50660,9_63130
9_2534,9_47563,9_33655,9_15475,9_61533
9_42189,9_42189,9_61726,9_63181,9_15480
9_38872,9_38872,9_73561,9_63496,9_63490
9_47523,9_47523,9_9418,9_63512,9_27023
9_21859,9_21859,9_8969,9_62082,9_20342
9_41861,9_41601,9_26287,9_26287,9_447
9_41601,9_41861,9_42344,9_8969,9_2955
9_27023,9_2756,9_63181,9_9418,9_26165
9_20342,9_27023,9_50655,9_61630,9_10960
9_63490,9_20342,9_42314,9_18987,9_5029
9_1411,9_63490,9_4637,9_22411,9_47413
9_19442,9_38856,9_66141,9_8768,9_36559
9_2756,9_1411,9_19468,9_6185,9_41948
9_38856,9_19442,9_15475,9_63231,9_47523
9_38710,9_37070,9_62443,9_76363,9_21859
9_63129,9_38710,9_25871,9_8008,9_3417
9_22487,9_51580,9_15666,9_61672,9_79572
9_61590,9_3047,9_21919,9_63518,9_20699
9_27791,9_63129,9_72296,9_10197,9_509
9_509,9_22487,9_61912,9_11410,9_47493
9_47493,9_61590,9_63508,9_11485,9_47539
9_37070,9_27791,9_22914,9_3940,9_8818
9_3047,9_509,9_15314,9_62954,9_63477
9_51580,9_47493,9_43130,9_33655,9_2143
9_61534,9_6664,9_15313,9_61726,9_41590
9_61602,9_8967,9_32967,9_22869,9_63210
9_61617,9_8729,9_8004,9_15314,9_4732
9_20655,9_6732,9_86243,9_14468,9_14742
9_21006,9_8843,9_15342,9_72200,9_62484
9_41832,9_9450,9_63496,9_9149,9_41861
9_1965,9_6500,9_8890,9_62075,9_41601
9_38894,9_6002,9_22170,9_1794,9_41524
9_8967,9_47899,9_72294,9_23928,9_1635
9_6664,9_9129,9_42618,9_5238,9_47498
9_8729,9_17763,9_48444,9_48404,9_41792
9_20699,9_61602,9_61698,9_62714,9_61616
9_3417,9_61534,9_61700,9_52266,9_15369
9_79572,9_21006,9_835,9_72979,9_41941
9_9450,9_61617,9_8640,9_68955,9_42037
9_8843,9_41832,9_42261,9_62746,9_1389
9_6732,9_20655,9_2703,9_72876,9_41700
9_6002,9_1965,9_25623,9_5154,9_2808
9_6500,9_38894,9_43235,9_9633,9_41867
9_47899,9_20699,9_52331,9_52483,9_4543
9_9129,9_79572,9_50660,9_62065,9_50405
