KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
7_104,7_310,7_1867,7_104,7_1030,7_971
7_971,7_541,7_1030,7_971,7_1867,7_104
7_2297,7_1674,7_1371,7_457,7_1371,7_964
7_1093,7_692,7_677,7_964,7_1319,7_74
7_107,7_121,7_1174,7_74,7_1199,7_909
7_1035,7_387,7_1381,7_2305,7_677,7_457
7_143,7_2427,7_1199,7_143,7_1174,7_1891
7_964,7_558,7_684,7_1035,7_757,7_1168
7_74,7_352,7_1117,7_909,7_1343,7_242
7_2427,7_1408,7_1319,7_1603,7_684,7_464
7_525,7_1904,7_423,7_242,7_863,7_1176
7_1170,7_1170,7_794,7_1891,7_879,7_706
7_1904,7_505,7_881,7_1168,7_881,7_72
7_1564,7_656,7_1343,7_663,7_1117,7_143
7_2194,7_2297,7_757,7_2126,7_794,7_1035
7_387,7_1093,7_1299,7_1599,7_912,7_2425
7_692,7_1261,7_912,7_1546,7_1299,7_924
7_121,7_1720,7_1839,7_1176,7_1381,7_587
7_81,7_1057,7_127,7_706,7_423,7_620
7_2271,7_659,7_863,7_464,7_1464,7_1702
7_1229,7_1229,7_879,7_1060,7_1734,7_1382
7_659,7_187,7_404,7_1715,7_820,7_1230
7_1057,7_725,7_602,7_937,7_602,7_937
7_99,7_1722,7_2477,7_1214,7_2477,7_1715
7_2397,7_525,7_1179,7_72,7_952,7_1060
7_505,7_107,7_1504,7_924,7_470,7_1214
7_1261,7_673,7_319,7_2425,7_1397,7_657
7_1720,7_141,7_1734,7_587,7_895,7_147
7_1236,7_1065,7_1464,7_1258,7_1288,7_500
7_1674,7_1677,7_1238,7_416,7_469,7_782
7_310,7_1520,7_685,7_698,7_2038,7_416
7_541,7_626,7_469,7_836,7_127,7_1258
7_458,7_420,7_1173,7_1787,7_685,7_663
7_416,7_670,7_895,7_2194,7_1504,7_2190
7_1258,7_927,7_1288,7_1230,7_1238,7_1295
7_892,7_1208,7_470,7_620,7_2518,7_696
7_807,7_2394,7_1644,7_1702,7_725,7_1820
7_128,7_1692,7_634,7_1382,7_1722,7_698
7_909,7_805,7_991,7_1387,7_534,7_836
7_558,7_508,7_820,7_347,7_2455,7_1787
7_673,7_1362,7_2518,7_2548,7_446,7_2305
7_141,7_672,7_534,7_2098,7_353,7_2326
7_481,7_2473,7_23,7_2205,7_1480,7_723
7_620,7_175,7_1397,7_696,7_859,7_1665
7_1382,7_727,7_2118,7_1295,7_404,7_1294
7_1230,7_590,7_704,7_2190,7_931,7_1387
7_1702,7_707,7_952,7_1564,7_1655,7_2548
7_1363,7_855,7_2455,7_1820,7_1088,7_347
7_940,7_1281,7_446,7_657,7_1839,7_1750
7_1532,7_1788,7_554,7_500,7_1181,7_2294
