KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
8_11065,8_3076,8_13486,8_10911,8_9566,8_13824
8_7115,8_11276,8_13484,8_4759,8_618,8_5051
8_13574,8_724,8_13485,8_10910,8_11351,8_6965
8_13599,8_1895,8_12603,8_11273,8_9507,8_2941
8_11083,8_1497,8_12602,8_4108,8_4961,8_13662
8_1532,8_11737,8_2520,8_4107,8_9508,8_8843
8_1533,8_3083,8_2521,8_4106,8_7600,8_4974
8_11082,8_2090,8_7068,8_4105,8_11722,8_4975
8_7113,8_560,8_10710,8_14209,8_4115,8_8833
8_7105,8_12007,8_10830,8_13955,8_4116,8_5056
8_7102,8_1041,8_10711,8_12831,8_9504,8_3981
8_11648,8_2329,8_4543,8_3361,8_2764,8_6622
8_13572,8_12435,8_13575,8_3360,8_11381,8_5461
8_12647,8_12008,8_12384,8_9101,8_11331,8_9206
8_14579,8_14655,8_4178,8_8896,8_4966,8_6551
8_12809,8_12963,8_2078,8_5554,8_2709,8_8924
8_13211,8_10214,8_2077,8_5553,8_7742,8_6567
8_13210,8_14575,8_10829,8_2583,8_11332,8_6566
8_10845,8_10342,8_11636,8_12598,8_7737,8_6960
8_10844,8_3218,8_1450,8_9048,8_7579,8_2456
8_2192,8_548,8_1451,8_2391,8_11757,8_2455
8_1021,8_12811,8_10029,8_11193,8_11884,8_5057
8_549,8_1302,8_10115,8_5899,8_2671,8_14091
8_1038,8_95,8_12272,8_2111,8_1534,8_2064
8_674,8_1753,8_10742,8_12549,8_629,8_6979
8_11697,8_562,8_9241,8_12512,8_630,8_6980
8_10860,8_11621,8_4155,8_4600,8_7794,8_7783
8_8659,8_11732,8_9243,8_12635,8_3473,8_2388
8_9861,8_1038,8_4541,8_14569,8_11676,8_9880
8_10068,8_9106,8_4176,8_4634,8_11705,8_4971
8_278,8_9552,8_4154,8_4726,8_3156,8_13224
8_1988,8_9861,8_12642,8_12737,8_3155,8_4816
8_12811,8_12548,8_13082,8_4598,8_9576,8_9304
8_10077,8_12815,8_2465,8_13980,8_5052,8_9618
8_2215,8_1271,8_2466,8_4798,8_11764,8_5961
8_10158,8_11465,8_7673,8_14141,8_4960,8_9284
8_10838,8_13319,8_11853,8_2584,8_2812,8_12243
8_2046,8_1915,8_12941,8_9401,8_11903,8_3314
8_2047,8_10181,8_9085,8_13088,8_4972,8_3815
8_2050,8_14233,8_12907,8_10976,8_1218,8_5055
8_2048,8_12865,8_9063,8_10027,8_1217,8_13222
8_2045,8_12862,8_12248,8_11337,8_1219,8_13218
8_2049,8_8659,8_14183,8_11080,8_1220,8_13216
8_10931,8_13632,8_10882,8_11250,8_7741,8_13221
8_8819,8_10845,8_1686,8_12461,8_574,8_13220
8_4531,8_10844,8_2108,8_11081,8_11626,8_13219
8_12648,8_10152,8_2107,8_13851,8_13101,8_13215
8_12008,8_11742,8_988,8_14582,8_13112,8_13214
8_3218,8_12648,8_8458,8_10007,8_13113,8_13213
8_4530,8_11731,8_12634,8_12556,8_13140,8_14334
