KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_71887,9_56960,9_18180,9_42464,9_10510
9_15238,9_56957,9_25683,9_46196,9_57445
9_80841,9_57137,9_14506,9_61171,9_44356
9_64515,9_80841,9_12812,9_46190,9_7849
9_46906,9_15238,9_12688,9_55033,9_80648
9_64516,9_71887,9_26721,9_72605,9_73248
9_14428,9_46906,9_12563,9_47577,9_46935
9_56960,9_14428,9_28105,9_75840,9_78633
9_57137,9_64516,9_31938,9_41420,9_5419
9_56957,9_64515,9_43070,9_46182,9_47970
9_51113,9_79420,9_29481,9_56327,9_57461
9_51118,9_71252,9_32050,9_41454,9_44722
9_25350,9_2964,9_19636,9_49957,9_41353
9_66942,9_69556,9_12700,9_41421,9_78317
9_66941,9_71257,9_29635,9_41453,9_57049
9_2964,9_46459,9_84513,9_62757,9_50544
9_71252,9_70754,9_12766,9_7899,9_51118
9_69556,9_70567,9_26641,9_53401,9_25350
9_79420,9_10285,9_19567,9_4963,9_51113
9_71257,9_50819,9_42669,9_62952,9_46658
9_51212,9_7145,9_12524,9_61927,9_66616
9_51216,9_51212,9_13188,9_42279,9_60354
9_65393,9_51216,9_20532,9_40931,9_42242
9_78672,9_66941,9_23161,9_43399,9_44822
9_65395,9_66942,9_72620,9_63116,9_4706
9_4899,9_46455,9_12579,9_41029,9_46943
9_8038,9_46450,9_80086,9_47194,9_65688
9_50819,9_56945,9_92331,9_44548,9_69741
9_70567,9_80776,9_87393,9_44552,9_68911
9_46459,9_46919,9_24645,9_46384,9_51007
9_10285,9_50880,9_25787,9_44955,9_10325
9_7145,9_4971,9_32384,9_50475,9_2545
9_70754,9_26286,9_28923,9_47663,9_46755
9_78317,9_21314,9_29936,9_50479,9_67373
9_57049,9_73750,9_28658,9_46390,9_68640
9_56945,9_74113,9_36490,9_53205,9_58683
9_46455,9_60311,9_26577,9_47335,9_64747
9_46450,9_80180,9_68002,9_53093,9_56566
9_46919,9_51042,9_48018,9_42583,9_17954
9_50880,9_4170,9_47867,9_42331,9_71796
9_80776,9_71393,9_34778,9_46393,9_50970
9_4971,9_71395,9_19575,9_41445,9_69421
9_60354,9_71620,9_61792,9_49749,9_50899
9_21314,9_58860,9_63386,9_41440,9_45219
9_74113,9_71164,9_52310,9_56313,9_63963
9_26286,9_6041,9_57409,9_41410,9_46934
9_73750,9_80840,9_72362,9_56358,9_42253
9_60311,9_78672,9_68242,9_41405,9_57463
9_58860,9_65393,9_52531,9_49715,9_51791
9_71164,9_4899,9_72360,9_44302,9_45052
