KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_77421,9_70791,9_13417,9_28192,9_80437
9_51335,9_90088,9_13418,9_74335,9_27938
9_51329,9_43496,9_81848,9_45346,9_72167
9_51331,9_51410,9_77560,9_59011,9_72168
9_51332,9_70012,9_59172,9_70902,9_14841
9_71218,9_70013,9_91678,9_70901,9_28415
9_66344,9_69976,9_91679,9_79223,9_79504
9_69993,9_69975,9_91677,9_80033,9_77935
9_69992,9_44787,9_13579,9_18929,9_71396
9_71745,9_44784,9_37134,9_27455,9_27642
9_47998,9_44785,9_73475,9_28193,9_27590
9_43501,9_44786,9_80168,9_28442,9_75456
9_48227,9_13761,9_67035,9_21758,9_72532
9_2036,9_66792,9_81696,9_72500,9_71026
9_2038,9_88874,9_81847,9_79248,9_70897
9_69964,9_50876,9_66349,9_30304,9_71287
9_69965,9_44783,9_56855,9_72989,9_71288
9_15706,9_68217,9_50702,9_29018,9_8420
9_9569,9_68216,9_77583,9_81101,9_88529
9_9568,9_51996,9_3081,9_70929,9_45091
9_2887,9_70527,9_69753,9_74339,9_34532
9_73510,9_89943,9_87995,9_73636,9_87788
9_77425,9_73535,9_52875,9_21029,9_60286
9_30140,9_59697,9_48084,9_28434,9_60283
9_30141,9_52032,9_83498,9_43036,9_60284
9_30142,9_51260,9_37093,9_29026,9_60288
9_30143,9_4930,9_37095,9_74319,9_60287
9_30139,9_51098,9_47710,9_27450,9_60285
9_30146,9_7650,9_49399,9_68706,9_8428
9_30147,9_44782,9_6210,9_68708,9_80435
9_30148,9_91616,9_63704,9_68710,9_41139
9_30144,9_85756,9_86424,9_57524,9_59496
9_30145,9_85757,9_36133,9_34447,9_14588
9_29826,9_44781,9_41715,9_34446,9_69032
9_29825,9_35195,9_9243,9_79361,9_74605
9_27795,9_68371,9_67893,9_71360,9_69203
9_57764,9_81665,9_9241,9_20460,9_34541
9_30091,9_63133,9_9242,9_80521,9_68859
9_30090,9_22580,9_9240,9_68704,9_27605
9_30096,9_81635,9_67894,9_68702,9_53088
9_30088,9_66371,9_68975,9_16259,9_14512
9_30087,9_68787,9_68976,9_34438,9_44084
9_30097,9_73744,9_4117,9_34437,9_82054
9_30101,9_83051,9_4116,9_9556,9_56210
9_30102,9_51947,9_39393,9_76445,9_14838
9_30094,9_31774,9_39394,9_58065,9_88340
9_30105,9_31773,9_39398,9_73151,9_71726
9_30106,9_55035,9_39401,9_59550,9_41115
9_30109,9_67224,9_39397,9_75231,9_45070
9_30104,9_70508,9_39402,9_74464,9_76817
