KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_80841,9_80841,9_18180,9_4152,9_3369
9_15238,9_15238,9_12688,9_47589,9_47057
9_46906,9_46906,9_14506,9_4526,9_75693
9_64515,9_64515,9_12812,9_5011,9_7008
9_4971,9_56957,9_12579,9_5418,9_53357
9_80776,9_4971,9_29635,9_42175,9_53926
9_50880,9_80776,9_26721,9_51451,9_66961
9_56957,9_50880,9_84513,9_2533,9_5716
9_51212,9_51212,9_19567,9_4246,9_3393
9_21314,9_21314,9_92331,9_5349,9_50954
9_7145,9_7145,9_87393,9_73375,9_46908
9_73750,9_64516,9_63386,,9_60357
9_50819,9_73750,9_61792,,9_50948
9_64516,9_50819,9_19636,,9_46989
9_51042,9_66942,9_26462,,9_66214
9_4170,9_51042,9_28105,,9_60323
9_66942,9_4170,9_29481,,9_46457
9_4551,9_50876,9_31929,,9_50941
9_50876,9_14428,9_36241,,9_46983
9_46455,9_4551,9_72190,,9_50952
9_8331,9_46455,9_85980,,9_78840
9_14428,9_8331,9_80086,,9_50947
9_51211,9_51216,9_48031,,9_50942
9_51216,9_51211,9_90658,,9_44642
9_70567,9_52940,9_90944,,9_2145
9_2964,9_70567,9_22025,,9_14549
9_46919,9_2964,9_13494,,9_52864
9_80180,9_46919,9_52045,,9_73099
9_56945,9_45363,9_26722,,9_50940
9_74113,9_74113,9_57409,,9_46715
9_3709,9_66362,9_82018,,9_4315
9_46459,9_78317,9_72187,,9_54223
9_70754,9_56945,9_25683,,9_52827
9_71257,9_80180,9_24645,,9_45363
9_52940,9_71257,9_19575,,9_1252
9_45363,9_70754,9_37068,,9_75857
9_78317,9_3709,9_72361,,9_71595
9_56960,9_46459,9_12524,,9_51275
9_6041,9_56960,9_52531,,9_4624
9_44900,9_57049,9_28446,,9_46993
9_66362,9_45353,9_37368,,9_52116
9_44903,9_6041,9_37872,,9_45351
9_46450,9_929,9_42646,,9_61047
9_57049,9_78672,9_36895,,9_11209
9_78672,9_46984,9_84515,,9_51271
9_51215,9_44900,9_42760,,9_56882
9_80576,9_51275,9_43070,,9_54444
9_46984,9_51271,9_66176,,9_53533
9_70527,9_44903,9_30532,,9_52940
9_45353,9_46450,9_72362,,9_75859
